region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,is_complete,completion_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction
msk,"Москва, Москва, 1-й Спасоналивковский пер, 20",75000000,124.7,20.0,empty,4,1,15,1997,empty,empty,monolithBrick,empty,empty,0,37.614033,55.733797,empty,empty,Добрынинская,12,walk,"Якиманка,ЦАО",1,1
msk,"Москва, Шмитовский проезд, 39к8",75000000,100.0,30.8,empty,4,8,53,2023,empty,empty,monolith,underground,empty,empty,37.525867,55.752333,empty,4,"Шелепиха,Шелепиха,Фили","13,14,4","walk,walk,transport","Пресненский,ЦАО",0,1
msk,"Россия, Москва, Ленинский проспект, 111к1",75000000,150.0,30.0,90.0,3,12,48,empty,empty,empty,monolith,empty,empty,0,37.509343,55.661328,1,1,Новаторская,20,walk,"Обручевский,ЮЗАО",0,1
msk,"Россия, Москва, Малая Бронная улица, 4",79990000,116.0,20.0,70.0,4,5,5,empty,empty,empty,brick,empty,empty,0,37.597477,55.759552,1,0,"Тверская,Арбатская,Маяковская","10,11,18","walk,walk,walk","Пресненский,ЦАО",0,1
msk,"Москва Усачева , 11Б",82000000,60.0,19.7,empty,2,5,13,empty,empty,empty,empty,empty,empty,empty,37.572288,55.727724,1,1,"Спортивная,Фрунзенская","9,13","walk,walk","Хамовники,ЦАО",empty,1
msk,Проспект Генерала Дорохова 39к1Е,88828000,103.1,15.0,62.1,4,4,12,empty,empty,empty,empty,underground,empty,empty,37.498186,55.717173,4,1,"Минская,Ломоносовский проспект","5,6","transport,transport","Раменки,ЗАО",empty,1
msk,"Москва, Арбат район, Поварская ул., д.8/1, к.1",93000000,93.8,20.0,45.4,3,2,6,2017,empty,empty,monolithBrick,empty,empty,0,37.598519,55.754172,1,empty,"Арбатская,Александровский сад","6,10","walk,walk","Арбат,ЦАО",1,1
msk,"Москва, ул. 1-я Ямская, д. 6",95000000,123.0,18.0,78.0,3,1,3,empty,empty,empty,monolith,underground,empty,empty,37.611491,55.79431,empty,empty,Марьина Роща,5,walk,"Марьина роща,СВАО",0,1
msk,"Москва, Ломоносовский проспект, 25",97000000,137.0,19.0,97.0,4,7,19,empty,empty,empty,monolithBrick,underground,empty,empty,37.532439,55.693591,1,empty,Университет,3,walk,"Раменки,ЗАО",0,1
msk,"Россия, Москва, Климентовский переулок, 2",107000000,137.0,19.0,81.0,3,4,12,2005,empty,empty,monolithBrick,empty,empty,1,37.631236,55.74108,1,1,"Новокузнецкая,Третьяковская","3,5","walk,walk","Замоскворечье,ЦАО",0,1
