region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,is_complete,completion_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction
kzn,"Республика Татарстан, Казань, улица Тази Гиззата",35156240,131.31,empty,43.2,3,2,4,empty,0,2025,empty,empty,empty,empty,49.1063710568987,55.78818239777908,empty,1,"Кремлёвская,Площадь Тукая,Суконная слобода","12,17,4","walk,walk,transport","Татарская слобода,Вахитовский",0,0
kzn,"Республика Татарстан, Казань, улица Габдуллы Тукая",35880000,119.6,empty,empty,4,4,4,empty,0,2025,monolithBrick,empty,empty,empty,49.11855565012221,55.772898856636345,3,empty,"Площадь Тукая,Суконная слобода,Кремлёвская","2,2,4","transport,transport,transport","Татарская слобода,Вахитовский",0,0
kzn,"Республика Татарстан, Казань, улица Хади Атласи",37125000,112.5,empty,78.6,3,1,4,empty,0,2024,empty,empty,empty,empty,49.1488633571463,55.7855566529179,1,empty,"Суконная слобода,Площадь Тукая,Аметьево","15,2,4","walk,transport,transport",Вахитовский,0,0
kzn,"Республика Татарстан, Казань, улица Хади Атласи",38688000,120.9,empty,67.7,3,4,4,empty,0,2024,empty,empty,empty,empty,49.1488633571463,55.7855566529179,1,empty,"Суконная слобода,Площадь Тукая,Аметьево","15,2,4","walk,transport,transport",Вахитовский,0,0
kzn,"Республика Татарстан, Казань, улица Хади Атласи",38798000,102.1,empty,78.6,3,3,4,empty,0,2024,empty,empty,empty,empty,49.1488633571463,55.7855566529179,1,empty,"Суконная слобода,Площадь Тукая,Аметьево","15,2,4","walk,transport,transport",Вахитовский,0,0
kzn,"Республика Татарстан, Казань, улица Рустема Яхина",39767600,107.48,empty,empty,3,2,4,empty,0,2025,monolithBrick,empty,empty,empty,49.1037653154811,55.7895738531727,4,4,"Кремлёвская,Площадь Тукая,Суконная слобода","10,20,4","walk,walk,transport","Центр,Вахитовский",0,0
kzn,"Республика Татарстан, Казань, улица Алексея Козина",41631027,131.73,empty,empty,3,18,24,empty,0,2024,monolith,empty,without,empty,49.1419199735711,55.8134541391244,3,3,"Козья слобода,Кремлёвская,Площадь Тукая","4,4,5","transport,transport,transport",Ново-Савиновский,0,0
kzn,"Россия, Татарстан, Казань, Вахитовский, ул. Айвазовского, 3",42990000,159.0,40.0,84.0,4,5,9,2013,empty,empty,brick,empty,empty,1,49.13975,55.788819,empty,empty,,,,Вахитовский,empty,0
kzn,"Республика Татарстан, Казань, улица Хади Атласи",46025000,131.5,empty,101.3,4,2,4,empty,0,2024,empty,empty,empty,empty,49.1488633571463,55.7855566529179,1,empty,"Суконная слобода,Площадь Тукая,Аметьево","15,2,4","walk,transport,transport",Вахитовский,0,0
kzn,"Республика Татарстан, Казань, улица Хади Атласи",45870000,139.0,empty,101.5,4,1,4,empty,0,2024,empty,empty,empty,empty,49.1488633571463,55.7855566529179,1,empty,"Суконная слобода,Площадь Тукая,Аметьево","15,2,4","walk,transport,transport",Вахитовский,0,0
