region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,is_complete,completion_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction
spb,"Санкт-Петербург, улица Маршала Казакова, 70к1с2",11499000,56.0,10.0,28.0,2,2,13,empty,empty,empty,empty,empty,empty,empty,30.175273,59.866165,empty,empty,"Автово,Кировский завод,Ленинский проспект","10,10,10","transport,transport,transport","Южно-Приморский,Красносельский",0,0
spb,"Санкт-Петербург, Московское шоссе, 13ЖЗ",11502041,50.09,empty,empty,2,10,16,empty,0,2025,monolithBrick,empty,empty,empty,30.3449134629201,59.8289273167498,empty,empty,,,,"Звёздное,Московский",1,0
spb,"Россия, Санкт-Петербург, Малый проспект Петроградской стороны, 55Д",11500000,49.9,8.6,24.0,2,2,5,1901,empty,empty,brick,ground,empty,0,30.300157,59.961944,1,empty,"Чкаловская,Петроградская,Спортивная","8,12,18","walk,walk,walk","Петровский,Петроградский",empty,0
spb,"Санкт-Петербург, Адмирала Черокова улица, 20 лит А",11500000,34.7,10.1,16.3,1,13,13,empty,empty,empty,monolith,empty,empty,empty,30.137705,59.851846,empty,empty,Проспект Ветеранов,12,transport,"Южно-Приморский,Красносельский",0,0
spb,"Санкт-Петербург, Невский район, Октябрьская наб., д.40, литер А",11500000,42.8,18.8,15.8,1,15,18,empty,1,2023,monolithBrick,empty,fine,0,30.4455587917,59.9004163488,2,empty,"Улица Дыбенко,Проспект Большевиков,Ломоносовская","6,6,7","transport,transport,transport","Невский,Невский",empty,0
spb,"Санкт-Петербург, Спасский пер., 7, литера А",11500000,58.8,12.6,41.2,3,3,4,1846,empty,empty,wood,multilevel,empty,empty,30.317943,59.928681,empty,empty,Садовая,7,walk,"Сенной,Адмиралтейский",0,0
spb,"Россия, Санкт-Петербург, Кузнецовская улица, 58к1",11500000,31.0,14.4,10.0,1,5,12,2021,empty,empty,monolithBrick,underground,empty,empty,30.34827,59.873162,1,1,"Бухарестская,Парк Победы,Электросила","4,5,7","transport,transport,transport","Гагаринское,Московский",0,0
spb,"Санкт-Петербург, Комендантский проспект, 65",11500000,53.4,10.0,32.0,2,8,20,2022,empty,empty,monolith,ground,empty,empty,30.227806,60.036263,2,1,"Комендантский проспект,Пионерская,Старая Деревня","6,10,10","transport,transport,transport","Коломяги,Приморский",0,0
spb,"Санкт-Петербург,Василеостровский, Санкт-Петербург г., , Наличная, 36 к 5",11599000,59.5,8.4,41.0,3,9,10,1971,empty,empty,empty,empty,empty,0,30.224276,59.947284,1,0,Приморская,12,walk,"Морской,Василеостровский",empty,0
spb,"г Санкт-Петербург, ул Маршала Захарова, д 12 к 2 литера А",11600000,68.2,10.8,34.7,2,5,8,2010,empty,empty,monolith,empty,empty,empty,30.161358,59.858272,1,empty,Ленинский проспект,10,transport,"Южно-Приморский,Красносельский",empty,0
