region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,is_complete,completion_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction
nsk,"Новосибирская обл., г. Новосибирск, ул. Немировича-Данченко, 148/2",7200000,43.5,empty,9.7,1,5,17,empty,empty,empty,empty,empty,empty,empty,82.917043,54.991057,empty,empty,,,,Кировский,empty,1
nsk,"Новосибирск, улица Дуси Ковальчук, 248/2",7895160,45.7,empty,empty,1,3,23,empty,1,2023,monolithBrick,empty,rough,empty,82.903083,55.054119,3,1,"Заельцовская,Гагаринская,Красный Проспект","13,16,3","walk,walk,transport",Заельцовский,0,0
nsk,"Новосибирская обл., г. Новосибирск, ул. Богдана Хмельницкого, 76/1",6400000,62.1,empty,42.0,2,15,17,empty,empty,empty,empty,empty,empty,empty,82.967528,55.081813,empty,empty,,,,"Богдана Хмельницкого,Калининский",empty,1
nsk,"Новосибирск, Железнодорожный район, Прибрежная улица, 4/2",7900000,46.45,empty,28.8,2,2,24,empty,0,2025,monolithBrick,empty,empty,empty,82.889599,55.030504,empty,empty,"Площадь Гарина-Михайловского,Площадь Ленина,Красный Проспект","12,3,3","walk,transport,transport","Прибрежный,Железнодорожный",0,0
nsk,"Новосибирская обл., г. Новосибирск, ул. Виктора Шевелева, 24",6990000,85.8,empty,55.0,3,4,10,empty,empty,empty,empty,empty,empty,empty,82.970861,54.945423,empty,empty,,,,Кировский,empty,1
nsk,"Новосибирск, улица Аэропорт, 88",9900000,86.04,empty,empty,3,2,18,empty,1,2023,monolith,empty,empty,empty,82.902176,55.080694,2,1,"Заельцовская,Гагаринская,Сибирская","5,8,8","transport,transport,transport","Аэропорт,Заельцовский",0,0
nsk,"Новосибирская обл., г. Новосибирск, ул. Владимира Заровного, 26/2",13300000,64.4,empty,37.9,2,22,25,empty,empty,empty,empty,empty,empty,empty,82.970071,54.99007,empty,empty,,,,"Европейский Берег,Октябрьский",empty,1
nsk,"Новосибирск, улица Объединения, 102/4с",4545300,34.0,empty,empty,1,6,9,empty,1,2024,monolithBrick,empty,rough,empty,82.975011,55.096858,empty,empty,"Заельцовская,Березовая Роща,Гагаринская","9,9,10","transport,transport,transport",Калининский,0,0
nsk,"Новосибирская обл., г. Новосибирск, ул. Шлюзовая, 2",2530000,29.6,empty,16.5,1,1,5,empty,empty,empty,empty,empty,empty,empty,83.041424,54.84994,empty,empty,,,,"Шлюз,Советский",empty,1
nsk,"Новосибирск, улица Объединения, 102/4с",4152450,30.8,empty,empty,1,7,9,empty,1,2024,monolithBrick,empty,rough,empty,82.975011,55.096858,empty,empty,"Заельцовская,Березовая Роща,Гагаринская","9,9,10","transport,transport,transport",Калининский,0,0
